city,month,rainfall,trigger
ANDAMAN & NICOBAR ISLANDS,2,11.7,0
ANDAMAN & NICOBAR ISLANDS,3,8.1,0
ANDAMAN & NICOBAR ISLANDS,4,58.4,0
ANDAMAN & NICOBAR ISLANDS,5,365.4,1
ANDAMAN & NICOBAR ISLANDS,6,544.2,1
ANDAMAN & NICOBAR ISLANDS,7,376.6,1
ANDAMAN & NICOBAR ISLANDS,8,294.1,1
ANDAMAN & NICOBAR ISLANDS,9,759.0,1
ANDAMAN & NICOBAR ISLANDS,10,239.8,1
ANDAMAN & NICOBAR ISLANDS,11,268.8,1
ANDAMAN & NICOBAR ISLANDS,12,56.9,0
ANDAMAN & NICOBAR ISLANDS,1,7.3,0
ANDAMAN & NICOBAR ISLANDS,2,172.9,0
ANDAMAN & NICOBAR ISLANDS,3,6.9,0
ANDAMAN & NICOBAR ISLANDS,4,131.4,0
ANDAMAN & NICOBAR ISLANDS,5,62.0,0
ANDAMAN & NICOBAR ISLANDS,6,708.4,1
ANDAMAN & NICOBAR ISLANDS,7,323.5,1
ANDAMAN & NICOBAR ISLANDS,8,924.9,1
ANDAMAN & NICOBAR ISLANDS,9,761.1,1
ANDAMAN & NICOBAR ISLANDS,10,338.1,1
ANDAMAN & NICOBAR ISLANDS,11,240.2,1
ANDAMAN & NICOBAR ISLANDS,12,46.1,0
ANDAMAN & NICOBAR ISLANDS,1,6.6,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,0.5,0
ANDAMAN & NICOBAR ISLANDS,4,133.6,0
ANDAMAN & NICOBAR ISLANDS,5,726.8,1
ANDAMAN & NICOBAR ISLANDS,6,374.1,1
ANDAMAN & NICOBAR ISLANDS,7,368.7,1
ANDAMAN & NICOBAR ISLANDS,8,411.6,1
ANDAMAN & NICOBAR ISLANDS,9,578.9,1
ANDAMAN & NICOBAR ISLANDS,10,182.4,0
ANDAMAN & NICOBAR ISLANDS,11,275.4,1
ANDAMAN & NICOBAR ISLANDS,12,95.4,0
